PlayerName,team_name,IP,SIERA,ERA,K_pct,BB_pct,GS
Ryan Johnson,LAA,8.1,6.2812,15.12,0.1064,0.1489,1
Jose Franco,CIN,16.2,5.7788,5.4,0.1646,0.1772,0
Jesse Scholtens,TBR,37.2,4.0535,3.823,0.1829,0.0671,2
Corbin Martin,CHC,5,6.2816,10.8,0.16,0.2,0
Chase Lee,TOR,3.1,8.8181,8.1,0.0667,0.2667,0
Kenley Jansen,DET,14.1,3.5162,5.0233,0.322,0.1356,0
Osvaldo Bido,- - -,18.2,5.4029,6.2679,0.1358,0.1235,0
Brandon Sproat,MIL,44.2,4.3636,5.8433,0.2449,0.1378,8
Andre Granillo,WSN,9.1,7.1473,9.6429,0.06,0.16,0
Carlos Estévez,KCR,0.1,11.0015,162.0002,0,0.2857,0
Matt Svanson,STL,25.2,4.1925,8.7662,0.2063,0.119,0
Matt Gage,SFG,21.2,4.4717,2.0769,0.1932,0.125,0
Nick Sandlin,LAA,8.2,5.0588,11.4231,0.15,0.125,0
Joey Lucchesi,LAA,3.1,6.6385,13.5,0.1667,0.25,0
Cristian Javier,HOU,9.1,7.5148,12.5357,0.0833,0.1875,3
Brayan Bello,BOS,49,4.5066,6.4286,0.1509,0.0905,7
Seranthony Domínguez,CHW,20.2,3.3687,4.3548,0.2857,0.1209,0
Roddery Muñoz,HOU,4,5.9489,15.75,0.24,0.24,0
Cole Ragans,KCR,35.1,4.1157,4.8396,0.298,0.1523,8
Justin Bruihl,STL,22.2,5.1017,5.5588,0.1333,0.1238,0
Clayton Beeter,WSN,12.1,4.402,2.9189,0.2453,0.1698,0
Kyle Finnegan,DET,24.2,5.992,1.8243,0.1429,0.181,0
Yaramil Hiraldo,BAL,1.2,9.737,21.6,0.1667,0.3333,0
Connor Brogdon,CLE,15.1,3.529,5.2826,0.209,0.0448,0
John Schreiber,KCR,20.1,4.9423,3.0984,0.1364,0.1136,0
Cionel Pérez,WSN,16,5.2206,6.1875,0.1233,0.1507,0
Aaron Brooks,TBR,0.1,17.665,81.0001,0,0.5,0
Connor Phillips,CIN,27.2,5.8305,5.5301,0.2105,0.2105,0
Jacob Lopez,ATH,48.2,5.6983,5.7329,0.1522,0.1348,9
Drew Pomeranz,LAA,15,5.014,7.2,0.1667,0.1111,0
Jordan Leasure,CHW,17.2,4.1195,6.1132,0.2432,0.1081,1
AJ Blubaugh,HOU,31.2,5.4407,4.8316,0.1727,0.1511,0
Germán Márquez,SDP,29.2,5.2138,5.764,0.1484,0.0938,6
Ken Waldichuk,WSN,9.1,4.8646,6.75,0.1951,0.1463,0
Brady Singer,CIN,46,4.4301,6.2609,0.1574,0.0556,10
Steven Cruz,KCR,10.1,4.0002,8.7097,0.2745,0.1569,0
Robbie Ray,SFG,58.2,4.6546,4.6023,0.212,0.116,11
Colton Gordon,HOU,9.1,3.5114,11.5714,0.22,0.06,1
Simeon Woods Richardson,MIN,45,5.8261,7.2,0.1043,0.1043,9
Brendon Little,TOR,3.2,3.6904,24.5455,0.25,0.125,0
PJ Poulin,WSN,23.2,5.3682,3.4225,0.1553,0.1456,6
Justin Topa,MIN,19,4.9074,8.0526,0.1304,0.1196,0
Luis Gil,NYY,19.1,6.0595,6.0517,0.1059,0.1294,4
Erick Fedde,CHW,49.1,5.0568,5.473,0.1429,0.0922,7
Max Scherzer,TOR,18.2,5.9217,9.6429,0.119,0.0952,5
Hunter Barco,PIT,11.2,5.5754,7.7143,0.1333,0.15,0
Valente Bellozo,COL,10.2,5.4672,7.5938,0.1667,0.1458,0
Luis Morales,ATH,9.1,7.3401,14.4643,0.1273,0.2182,2
Miles Mikolas,WSN,46.2,4.3072,6.1714,0.1527,0.069,6
Taijuan Walker,PHI,22.2,4.9824,9.1324,0.1478,0.0957,4
Ryan Weiss,HOU,26,4.6102,7.6154,0.229,0.1527,2
Eric Lauer,TOR,36.1,5.2762,6.6881,0.1605,0.0988,6
Bryan Abreu,HOU,17,5.6627,6.8824,0.2442,0.2326,0
Jameson Taillon,CHC,55.1,4.2895,5.2048,0.2017,0.0773,10
Aaron Bummer,ATL,15.1,4.8571,7.6304,0.1688,0.1299,0
Zack Littell,WSN,53.1,5.1673,5.2313,0.1277,0.0723,7
Tony Santillan,CIN,20,4.1818,5.85,0.2386,0.125,0
